corridor_key,scenarios_profitable,min_stress_margin,avg_stress_margin,max_stress_score,mean_stress_score,spatial_priority_score,spatial_tier,active_products,flow_persistence_score,stress_class
Gitega Centre — Rwibaga,7,357.27719951741204,421.5192700788908,65.71578900104288,65.71578900104288,65.71578900104288,C — secondaire,1.0,16.666666666666668,Very robust
Gitega Centre — Twinkwavu,7,377.8637814330091,456.8043111855753,52.773372975120765,52.773372975120765,52.773372975120765,C — secondaire,0.0,0.0,Very robust
Gitega Centre — Wimpfizi,7,143.49385210456632,171.29862975909973,60.94262911041981,60.94262911041981,60.94262911041981,C — secondaire,0.0,0.0,Very robust
Gitega — Gitega Centre,7,161.52869003063986,191.79436829884563,61.0767223312529,61.0767223312529,61.0767223312529,C — secondaire,0.0,0.0,Very robust
Gitega — Giteranyi,7,720.1794515666313,861.3774620999849,63.17315060563928,63.17315060563927,63.17315060563928,C — secondaire,0.0,0.0,Very robust
Gitega — Gitobe,7,473.3389846640716,573.7748311417452,59.07982147935561,59.07982147935561,59.07982147935561,C — secondaire,0.0,0.0,Very robust
Gitega — Jene,7,394.4424803110074,480.8207787047174,63.10294747723491,63.10294747723491,63.10294747723491,C — secondaire,0.0,0.0,Very robust
Gitega — Kamenge,7,508.88638112366914,607.5265319101438,80.03151733897397,80.03151733897396,80.03151733897397,B — prioritaire,1.0,33.333333333333336,Very robust
Gitega — Kanyosha,7,402.9428045885183,485.95812053793645,71.48300192238258,71.48300192238258,71.48300192238258,B — prioritaire,0.0,0.0,Very robust
Gitega — Kayanza,7,694.3892612271962,820.4752733830841,59.894662635060634,59.894662635060634,59.894662635060634,C — secondaire,0.0,0.0,Very robust
Gitega — Kayero,7,718.2032602618947,828.4176518265264,57.231314622497095,57.231314622497095,57.231314622497095,C — secondaire,0.0,0.0,Very robust
Gitega — Kayogoro,7,1109.5613384214914,1283.5138036092108,65.23127247906558,65.23127247906558,65.23127247906558,C — secondaire,0.0,0.0,Very robust
Gitega — Kayongozi,7,723.6476636982284,841.8603107278122,60.76859224865625,60.76859224865625,60.76859224865625,C — secondaire,0.0,0.0,Very robust
Gitega — Kigamba,7,363.4454170010583,439.12009500045343,55.38820218497012,55.38820218497012,55.38820218497012,C — secondaire,0.0,0.0,Very robust
Gitega — Kinama,7,611.1056522861584,721.7936992654966,55.97037743141388,55.97037743141387,55.97037743141388,C — secondaire,0.0,0.0,Very robust
Gitega — Kinyinya,7,908.803437431574,1048.788594042103,98.4224540680184,98.4224540680184,98.4224540680184,A — stratégique,1.0,100.0,Very robust
Gitega — Kirehe,7,391.3059323853984,473.89035216517067,63.31942973721571,63.31942973721571,63.31942973721571,C — secondaire,0.0,0.0,Very robust
Gitega — Kirundo,7,684.5611352440142,817.0115688188632,63.37046822309134,63.37046822309134,63.37046822309134,C — secondaire,0.0,0.0,Very robust
Gitega — Kivyuka,7,816.2370563055913,966.019181559539,63.66242484525989,63.662424845259885,63.66242484525989,C — secondaire,0.0,0.0,Very robust
Gitega — Kobero,7,342.02626135878336,425.1566354394785,54.62302684327078,54.62302684327078,54.62302684327078,C — secondaire,0.0,0.0,Very robust
Gitega — Mabanda,7,991.0192126926586,1155.347363439711,64.59723467605443,64.59723467605443,64.59723467605443,C — secondaire,0.0,0.0,Very robust
Gitega — Mabayi,7,501.2584300397122,619.5962600170195,66.24358420305887,66.24358420305887,66.24358420305887,C — secondaire,0.0,0.0,Very robust
Gitega — Makamba,7,1262.3994825094917,1461.693755742163,87.41872816876557,87.41872816876557,87.41872816876557,A — stratégique,1.0,83.33333333333333,Very robust
Gitega — Marangara,7,702.7876742987556,834.8953854613713,51.637401317891445,51.637401317891445,51.637401317891445,C — secondaire,0.0,0.0,Very robust
Gitega — Masanganzira,7,240.2038548732645,301.95834094568494,54.72139629343375,54.72139629343375,54.72139629343375,C — secondaire,0.0,0.0,Very robust
Gitega — Matana,7,1066.5327264406967,1231.9519546968065,71.27736575499284,71.27736575499284,71.27736575499284,B — prioritaire,0.0,0.0,Very robust
Gitega — Mihigo,7,419.9277147218421,506.7863151665039,55.33115381257668,55.33115381257668,55.33115381257668,C — secondaire,0.0,0.0,Very robust
Gitega — Mishiha,7,515.7218066334189,617.6442574143224,59.48069396562053,59.48069396562054,59.48069396562053,C — secondaire,0.0,0.0,Very robust
Gitega — Muhanga,7,713.7419967879489,836.1953014805495,56.339486906927746,56.339486906927746,56.339486906927746,C — secondaire,0.0,0.0,Very robust
Gitega — Mukenke,7,194.7077136580096,258.62927528200413,62.010614161299706,62.010614161299706,62.010614161299706,C — secondaire,0.0,0.0,Very robust
Gitega — Muramvya,7,376.3206257690381,449.22719910736544,60.763900308591374,60.763900308591374,60.763900308591374,C — secondaire,0.0,0.0,Very robust
Gitega — Musenyi,7,409.4242849014992,498.5735235292138,59.07422140972493,59.07422140972493,59.07422140972493,C — secondaire,0.0,0.0,Very robust
Gitega — Mutaho,7,385.9516127600672,457.6973388971716,68.00539948727307,68.00539948727307,68.00539948727307,C — secondaire,0.0,0.0,Very robust
Gitega — Muyange,7,543.4584507679863,646.9428206148514,71.77525438016808,71.77525438016808,71.77525438016808,B — prioritaire,0.0,0.0,Very robust
Gitega — Muyinga,7,518.2892023110427,621.0243335618753,59.455659270760485,59.455659270760485,59.455659270760485,C — secondaire,0.0,0.0,Very robust
Gitega — Muzinda,7,708.6088753193156,837.9264391368496,71.9092519133666,71.9092519133666,71.9092519133666,B — prioritaire,0.0,0.0,Very robust
Gitega — Mwakiro,7,863.1690656457145,1008.2688587053062,56.460397994979786,56.46039799497979,56.460397994979786,C — secondaire,0.0,0.0,Very robust
Gitega — Mwaro,7,550.5209671856529,641.4264787938511,60.639775431907815,60.639775431907815,60.639775431907815,C — secondaire,0.0,0.0,Very robust
Gitega — Ngozi,7,496.0089463084222,591.2295527036096,51.652974039037844,51.65297403903784,51.652974039037844,C — secondaire,0.0,0.0,Very robust
Gitega — Nyabihanga,7,848.6617641224668,979.4665171953429,69.3606672260516,69.3606672260516,69.3606672260516,C — secondaire,0.0,0.0,Very robust
Gitega — Nyabikere,7,860.7229704162559,998.3731556069669,73.04781022441037,73.04781022441037,73.04781022441037,B — prioritaire,0.0,0.0,Very robust
Gitega — Nyagasasa,7,612.5519967969572,716.7449309129815,60.45632926074709,60.45632926074709,60.45632926074709,C — secondaire,0.0,0.0,Very robust
Gitega — Rubaho,7,679.0989973811994,787.0626497347996,69.01419014102717,69.01419014102717,69.01419014102717,C — secondaire,0.0,0.0,Very robust
Gitega — Rugombo,7,203.5229483826253,275.5363310211251,49.53401159686379,49.534011596863785,49.53401159686379,D — surveillance,0.0,0.0,Very robust
Gitega — Ruhehe,7,185.2592378117965,251.1347228717223,49.78969651724084,49.78969651724084,49.78969651724084,D — surveillance,0.0,0.0,Very robust
Gitega — Rumonge,7,596.8376441058813,705.7055094739491,88.69639042110838,88.69639042110838,88.69639042110838,A — stratégique,1.0,66.66666666666667,Very robust
Gitega — Rusaka,7,701.0303134059302,817.0843354914305,74.47059603254007,74.47059603254009,74.47059603254007,B — prioritaire,1.0,33.333333333333336,Very robust
Gitega — Rutana,7,437.537095263703,509.2359271130155,89.47474828146653,89.47474828146653,89.47474828146653,A — stratégique,1.0,83.33333333333333,Very robust
Gitega — Ruyigi,7,1686.175788331924,1935.0311656025708,92.68028395164092,92.68028395164092,92.68028395164092,A — stratégique,1.0,100.0,Very robust
Gitega — Rwibaga,7,871.0963386093773,1013.608290546876,72.8276855407165,72.8276855407165,72.8276855407165,B — prioritaire,0.0,0.0,Very robust
Gitega — Twinkwavu,7,468.25816382174605,556.9808722093195,63.837726025044454,63.837726025044454,63.837726025044454,C — secondaire,0.0,0.0,Very robust
Gitega — Wimpfizi,7,844.8821866935153,975.1678582972207,69.3541776119526,69.3541776119526,69.3541776119526,C — secondaire,0.0,0.0,Very robust
Giteranyi — Gitobe,7,512.6579801025919,595.6264980439677,72.80704605188903,72.80704605188903,72.80704605188903,B — prioritaire,0.0,0.0,Very robust
Giteranyi — Jene,7,492.86732987003376,593.3940173728716,63.330512209640375,63.33051220964038,63.330512209640375,C — secondaire,0.0,0.0,Very robust
Giteranyi — Kamenge,7,540.9904938843586,662.2700553790108,62.62469953749711,62.62469953749711,62.62469953749711,C — secondaire,1.0,16.666666666666668,Very robust
Giteranyi — Kanyosha,7,720.0088507574096,869.115157181747,54.5767928156915,54.5767928156915,54.5767928156915,C — secondaire,0.0,0.0,Very robust
Giteranyi — Kayanza,7,292.14258980261747,363.4806113439789,62.82455062393522,62.82455062393522,62.82455062393522,C — secondaire,0.0,0.0,Very robust
Giteranyi — Kayero,6,-9.366373043697678,34.25723440984377,55.62125035574387,55.62125035574387,55.62125035574387,C — secondaire,0.0,0.0,Robust
Giteranyi — Kayogoro,7,243.61401082002047,330.81942635143736,45.04926348783134,45.04926348783134,45.04926348783134,D — surveillance,0.0,0.0,Very robust
Giteranyi — Kayongozi,7,335.4480875150598,410.8202915064542,63.10803585968716,63.10803585968716,63.10803585968716,C — secondaire,0.0,0.0,Very robust
Giteranyi — Kigamba,7,1143.5522208810864,1326.1182163776084,73.05403617919296,73.05403617919296,73.05403617919296,B — prioritaire,0.0,0.0,Very robust
Giteranyi — Kinama,7,317.78671440991866,401.6992881756793,62.458537527078946,62.458537527078946,62.458537527078946,C — secondaire,1.0,16.666666666666668,Very robust
Giteranyi — Kinyinya,7,460.2861273530556,564.0457641036907,64.17682309460841,64.17682309460841,64.17682309460841,C — secondaire,0.0,0.0,Very robust
Giteranyi — Kirehe,7,692.9896223965814,805.8714978842492,72.86055922444822,72.86055922444822,72.86055922444822,B — prioritaire,0.0,0.0,Very robust
Giteranyi — Kirundo,7,379.60740709579096,447.47744761248185,60.13610302737337,60.13610302737337,60.13610302737337,C — secondaire,0.0,0.0,Very robust
Giteranyi — Kivyuka,7,330.32543193411,416.35058082890436,58.30851141623758,58.30851141623758,58.30851141623758,C — secondaire,0.0,0.0,Very robust
