corridor_key,origin,destination,origin_lat,origin_lon,destination_lat,destination_lon,priority_score,priority_tier,robust_or_strong_share_pct,products,avg_distance_km,min_distance_km,max_distance_km,avg_break_even_bif_tkm,spatial_priority_score,spatial_tier,scenarios_active,scenario_presence_pct,total_flow_units,avg_flow_units,products,total_margin_bif,avg_margin_bif,max_capacity_utilization_pct,avg_capacity_utilization_pct,flow_persistence_score,geometry_type,route_observations,robust_routes,strong_or_better,avg_robustness_pct,avg_min_net_margin_bif_kg,max_min_net_margin_bif_kg,breadth_score,robust_score,margin_score,distance_score,flow_500_bif_tkm,products_500_bif_tkm,margin_500_bif,utilization_500_pct,flow_750_bif_tkm,products_750_bif_tkm,margin_750_bif,utilization_750_pct,flow_811.33_bif_tkm,products_811.33_bif_tkm,margin_811.33_bif,utilization_811.33_pct,flow_1000_bif_tkm,products_1000_bif_tkm,margin_1000_bif,utilization_1000_pct,flow_1250_bif_tkm,products_1250_bif_tkm,margin_1250_bif,utilization_1250_pct,flow_1500_bif_tkm,products_1500_bif_tkm,margin_1500_bif,utilization_1500_pct,priority_score_component,flow_persistence_component,robustness_component,breadth_component
Giharo — Kinyinya,Giharo,Kinyinya,-3.78,30.23,-3.66,30.36,95.842437592715,A — stratégique,100.0,10,22.466066,22.466066,22.466066,30814.696262354097,98.12909691672175,A — stratégique,6,100.0,11.0,1.8333333333333333,10,10553.247536919094,1758.8745894865158,66.66666666666666,61.11111111111111,100.0,straight_line_market_connector,10,10,10,100.0,658.5859010000004,1613.170901,1.0,1.0,0.8296972883573325,0.9248491825568328,1.0,1.0,416.8969670000001,33.33333333333333,2.0,2.0,2041.300901,66.66666666666666,2.0,2.0,2038.5451639190944,66.66666666666666,2.0,2.0,2030.067868,66.66666666666666,2.0,2.0,2018.834835,66.66666666666666,2.0,2.0,2007.601802,66.66666666666666,95.842437592715,100.0,100.0,100.0
Gihogazi — Nyabikere,Gihogazi,Nyabikere,-3.12,30.0,-3.26,30.11,95.79724135043092,A — stratégique,100.0,10,28.947707,28.947707,28.947707,26023.96106883353,98.10875860769391,A — stratégique,6,100.0,6.0,1.0,10,5881.755290037212,980.2925483395353,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,709.9124394999998,3623.2484394999983,1.0,1.0,0.8392750434359572,0.9011740481711789,1.0,1.0,993.8561465,33.33333333333333,1.0,1.0,986.61921975,33.33333333333333,1.0,1.0,984.8438250372124,33.33333333333333,1.0,1.0,979.382293,33.33333333333333,1.0,1.0,972.14536625,33.33333333333333,1.0,1.0,964.9084395,33.33333333333333,95.79724135043092,100.0,100.0,100.0
Bukirasazi — Matana,Bukirasazi,Matana,-3.7,29.96,-3.77,29.69,95.76168856445794,A — stratégique,100.0,10,43.135551,43.135551,43.135551,21382.942343775787,98.09275985400608,A — stratégique,6,100.0,15.0,2.5,10,22090.993409124192,3681.832234854032,100.0,83.33333333333333,100.0,straight_line_market_connector,10,9,10,98.33333333333334,857.6616735,3685.2966735,1.0,1.0,0.8634089837313251,0.8493508889831441,3.0,3.0,3933.2166735,100.0,3.0,3.0,3900.86501025,100.0,3.0,3.0,3892.928357874192,100.0,2.0,2.0,3476.228898,66.66666666666666,2.0,2.0,3454.6611225,66.66666666666666,2.0,2.0,3433.093347,66.66666666666666,95.76168856445794,100.0,100.0,100.0
Gatabo — Muramvya,Gatabo,Muramvya,-3.28,29.7,-3.27,29.62,95.45903114759568,A — stratégique,100.0,10,12.6676,12.6676,12.6676,40382.07711010767,97.95656401641806,A — stratégique,6,100.0,12.0,2.0,10,1891.8687643152798,315.3114607192133,66.66666666666666,66.66666666666666,100.0,straight_line_market_connector,10,10,10,100.0,492.5425999999999,2415.7785999999987,1.0,1.0,0.7926318065790144,0.9606395016015408,2.0,2.0,327.1823999999999,66.66666666666666,2.0,2.0,320.8485999999999,66.66666666666666,2.0,2.0,319.29476431528,66.66666666666666,2.0,2.0,314.5147999999999,66.66666666666666,2.0,2.0,308.1809999999999,66.66666666666666,2.0,2.0,301.8472,66.66666666666666,95.45903114759568,100.0,100.0,100.0
Nyabihanga — Rwibaga,Nyabihanga,Rwibaga,-3.47,29.81,-3.47,29.55,95.0675129820447,A — stratégique,100.0,10,39.435561,39.435561,39.435561,17215.70538834227,97.78038084192012,A — stratégique,6,100.0,10.0,1.6666666666666667,10,16495.566873414755,2749.261145569126,66.66666666666666,55.55555555555554,100.0,straight_line_market_connector,10,10,10,100.0,619.7576585000003,2424.5466585,1.0,1.0,0.8219428293969191,0.8628656394106324,1.0,1.0,2463.9822195,33.33333333333333,2.0,2.0,2924.5466585,66.66666666666666,1.0,1.0,2451.704702914753,33.33333333333333,2.0,2.0,2904.8288780000003,66.66666666666666,2.0,2.0,2885.1110975,66.66666666666666,2.0,2.0,2865.393317,66.66666666666666,95.0675129820447,100.0,100.0,100.0
Gitobe — Muyinga,Gitobe,Muyinga,-2.65,30.2,-2.85,30.34,95.0048273787286,A — stratégique,100.0,10,40.947115,40.947115,40.947115,16591.303196818622,97.75217232042787,A — stratégique,6,100.0,6.0,1.0,10,4595.342757145223,765.8904595242038,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,617.9453274999998,1744.1393274999978,1.0,1.0,0.8215691344040023,0.8573444690648554,1.0,1.0,785.0764425,33.33333333333333,1.0,1.0,774.83966375,33.33333333333333,1.0,1.0,772.3283321452235,33.33333333333333,1.0,1.0,764.602885,33.33333333333333,1.0,1.0,754.3661062499999,33.33333333333333,1.0,1.0,744.1293274999999,33.33333333333333,95.0048273787286,100.0,100.0,100.0
Bukirasazi — Giharo,Bukirasazi,Giharo,-3.7,29.96,-3.78,30.23,94.97879530524654,A — stratégique,100.0,10,47.36887599999999,47.36887599999999,47.36887599999999,15656.018521528778,97.74045788736095,A — stratégique,6,100.0,6.0,1.0,10,3800.823777729159,633.4706296215264,33.33333333333333,33.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,670.5546860000001,3831.116686,1.0,1.0,0.8319957377277527,0.8338880550691481,1.0,1.0,655.6655620000004,33.33333333333333,1.0,1.0,643.8233430000004,33.33333333333333,1.0,1.0,640.9181577291567,33.33333333333333,1.0,1.0,631.9811240000004,33.33333333333333,1.0,1.0,620.1389050000004,33.33333333333333,1.0,1.0,608.2966860000004,33.33333333333333,94.97879530524654,100.0,100.0,100.0
Kayanza — Mabayi,Kayanza,Mabayi,-2.93,29.63,-2.72,29.24,94.82490613657455,A — stratégique,100.0,10,87.08921400000001,87.08921400000001,87.08921400000001,14296.07574595862,97.67120776145856,A — stratégique,6,100.0,10.0,1.6666666666666667,10,28397.76682291449,4732.961137152415,66.66666666666666,55.55555555555554,100.0,straight_line_market_connector,10,10,10,100.0,1114.4001789999998,4369.366179,1.0,1.0,0.896843428727731,0.6888037562019951,2.0,2.0,4799.020786,66.66666666666666,2.0,2.0,4755.476179,66.66666666666666,2.0,2.0,5370.833624414489,66.66666666666666,2.0,2.0,4711.931572,66.66666666666666,1.0,1.0,4391.1384825,33.33333333333333,1.0,1.0,4369.366179,33.33333333333333,94.82490613657455,100.0,100.0,100.0
Gatabo — Rusaka,Gatabo,Rusaka,-3.28,29.7,-3.44,29.63,94.59391135925954,A — stratégique,100.0,10,25.471898,25.471898,25.471898,18046.750972385333,97.5672601116668,A — stratégique,6,100.0,11.0,1.8333333333333333,10,9023.934682953144,1503.989113825524,66.66666666666666,61.11111111111111,100.0,straight_line_market_connector,10,9,10,98.33333333333334,421.47715299999993,1118.042153,1.0,1.0,0.7727605954817687,0.913869944962418,1.0,1.0,1143.514051,33.33333333333333,2.0,2.0,1591.9921529999997,66.66666666666666,2.0,2.0,1588.8677139531442,66.66666666666666,2.0,2.0,1579.2562039999998,66.66666666666666,2.0,2.0,1566.520255,66.66666666666666,2.0,2.0,1553.784306,66.66666666666666,94.59391135925954,100.0,100.0,100.0
Bukeye — Kanyosha,Bukeye,Kanyosha,-3.19,29.63,-3.43,29.36,94.45244451445312,A — stratégique,100.0,10,58.676032,58.676032,58.676032,12431.702948147553,97.50360003150391,A — stratégique,6,100.0,15.0,2.5,10,7369.868563241414,1228.3114272069024,100.0,83.33333333333333,100.0,straight_line_market_connector,10,10,10,100.0,641.428952,1790.455952,1.0,1.0,0.8263287122955096,0.7925870268542945,2.0,2.0,1384.373968,66.66666666666666,3.0,3.0,1525.608928,100.0,3.0,3.0,1514.8129312414144,100.0,3.0,3.0,1278.1319039999998,100.0,3.0,3.0,1234.1248799999998,100.0,1.0,1.0,432.8159519999999,33.33333333333333,94.45244451445312,100.0,100.0,100.0
