corridor_key,scenarios_active,scenario_presence_pct,total_flow_units,avg_flow_units,total_margin_bif,avg_margin_bif,max_capacity_utilization_pct,avg_capacity_utilization_pct,flow_persistence_score,flow_500_bif_tkm,products_500_bif_tkm,margin_500_bif,utilization_500_pct,flow_750_bif_tkm,products_750_bif_tkm,margin_750_bif,utilization_750_pct,flow_811.33_bif_tkm,products_811.33_bif_tkm,margin_811.33_bif,utilization_811.33_pct,flow_1000_bif_tkm,products_1000_bif_tkm,margin_1000_bif,utilization_1000_pct,flow_1250_bif_tkm,products_1250_bif_tkm,margin_1250_bif,utilization_1250_pct,flow_1500_bif_tkm,products_1500_bif_tkm,margin_1500_bif,utilization_1500_pct
Giharo — Kinyinya,6,100.0,11.0,1.8333333333333333,10553.247536919094,1758.8745894865158,66.66666666666666,61.11111111111111,100.0,1.0,1.0,416.8969670000001,33.33333333333333,2.0,2.0,2041.300901,66.66666666666666,2.0,2.0,2038.5451639190944,66.66666666666666,2.0,2.0,2030.067868,66.66666666666666,2.0,2.0,2018.834835,66.66666666666666,2.0,2.0,2007.601802,66.66666666666666
Gitega — Ruyigi,6,100.0,6.0,1.0,10133.497883718697,1688.9163139531163,33.33333333333333,33.33333333333333,100.0,1.0,1.0,1705.032381,33.33333333333333,1.0,1.0,1696.4335715,33.33333333333333,1.0,1.0,1694.3240737186982,33.33333333333333,1.0,1.0,1687.834762,33.33333333333333,1.0,1.0,1679.2359525,33.33333333333333,1.0,1.0,1670.637143,33.33333333333333
Buhiga — Mwakiro,6,100.0,12.0,2.0,9986.71785160331,1664.452975267218,66.66666666666666,66.66666666666666,100.0,2.0,2.0,1688.0738859999997,66.66666666666666,2.0,2.0,1675.470829,66.66666666666666,2.0,2.0,1672.3789916033093,66.66666666666666,2.0,2.0,1662.867772,66.66666666666666,2.0,2.0,1650.264715,66.66666666666666,2.0,2.0,1637.661658,66.66666666666666
Gihogazi — Mwakiro,6,100.0,8.0,1.3333333333333333,9463.816420389649,1577.302736731608,66.66666666666666,44.444444444444436,100.0,1.0,1.0,1399.8194815,33.33333333333333,1.0,1.0,1388.7942222499998,33.33333333333333,1.0,1.0,1386.0894571396493,33.33333333333333,1.0,1.0,1377.768963,33.33333333333333,2.0,2.0,1966.6974075,66.66666666666666,2.0,2.0,1944.646889,66.66666666666666
Makamba — Muyange,6,100.0,14.0,2.3333333333333335,9135.366514866942,1522.561085811157,100.0,77.77777777777777,100.0,3.0,3.0,2061.7393415,100.0,2.0,2.0,1177.4593415000002,66.66666666666666,3.0,3.0,2032.1313438669413,100.0,1.0,1.0,751.6395610000002,33.33333333333333,2.0,2.0,1145.7589025000002,66.66666666666666,3.0,3.0,1966.6380245,100.0
Gatabo — Rusaka,6,100.0,11.0,1.8333333333333333,9023.934682953144,1503.989113825524,66.66666666666666,61.11111111111111,100.0,1.0,1.0,1143.514051,33.33333333333333,2.0,2.0,1591.9921529999997,66.66666666666666,2.0,2.0,1588.8677139531442,66.66666666666666,2.0,2.0,1579.2562039999998,66.66666666666666,2.0,2.0,1566.520255,66.66666666666666,2.0,2.0,1553.784306,66.66666666666666
Bandaga — Muhanga,6,100.0,6.0,1.0,8808.116460372792,1468.019410062132,33.33333333333333,33.33333333333333,100.0,1.0,1.0,1483.490569,33.33333333333333,1.0,1.0,1475.2358535,33.33333333333333,1.0,1.0,1473.2107703727918,33.33333333333333,1.0,1.0,1466.981138,33.33333333333333,1.0,1.0,1458.7264225,33.33333333333333,1.0,1.0,1450.471707,33.33333333333333
Buyengero — Rumonge,6,100.0,12.0,2.0,8124.80127881324,1354.1335464688734,66.66666666666666,66.66666666666666,100.0,2.0,2.0,1381.861364,66.66666666666666,2.0,2.0,1367.067046,66.66666666666666,2.0,2.0,1363.4376388132407,66.66666666666666,2.0,2.0,1352.272728,66.66666666666666,2.0,2.0,1337.4784099999997,66.66666666666666,2.0,2.0,1322.6840919999995,66.66666666666666
Kayongozi — Twinkwavu,6,100.0,6.0,1.0,7880.586097765906,1313.4310162943177,33.33333333333333,33.33333333333333,100.0,1.0,1.0,1335.678976,33.33333333333333,1.0,1.0,1323.8084639999995,33.33333333333333,1.0,1.0,1320.896337765907,33.33333333333333,1.0,1.0,1311.9379519999998,33.33333333333333,1.0,1.0,1300.0674399999998,33.33333333333333,1.0,1.0,1288.1969279999998,33.33333333333333
Gihogazi — Muramvya,6,100.0,6.0,1.0,7711.751757762044,1285.2919596270074,33.33333333333333,33.33333333333333,100.0,1.0,1.0,1312.0384975,33.33333333333333,1.0,1.0,1297.7677462499998,33.33333333333333,1.0,1.0,1294.2667827620444,33.33333333333333,1.0,1.0,1283.496995,33.33333333333333,1.0,1.0,1269.22624375,33.33333333333333,1.0,1.0,1254.9554925,33.33333333333333
Bukeye — Kanyosha,6,100.0,15.0,2.5,7369.868563241414,1228.3114272069024,100.0,83.33333333333333,100.0,2.0,2.0,1384.373968,66.66666666666666,3.0,3.0,1525.608928,100.0,3.0,3.0,1514.8129312414144,100.0,3.0,3.0,1278.1319039999998,100.0,3.0,3.0,1234.1248799999998,100.0,1.0,1.0,432.8159519999999,33.33333333333333
Gitobe — Mukenke,6,100.0,6.0,1.0,7069.410553294827,1178.2350922158046,33.33333333333333,33.33333333333333,100.0,1.0,1.0,1187.419367,33.33333333333333,1.0,1.0,1182.5190505,33.33333333333333,1.0,1.0,1181.3168832948274,33.33333333333333,1.0,1.0,1177.618734,33.33333333333333,1.0,1.0,1172.7184175,33.33333333333333,1.0,1.0,1167.818101,33.33333333333333
Gihogazi — Rwibaga,6,100.0,10.0,1.6666666666666667,7007.931555970704,1167.988592661784,66.66666666666666,55.55555555555554,100.0,1.0,1.0,823.3144735,33.33333333333333,2.0,2.0,1436.6234205,66.66666666666666,2.0,2.0,1426.4999799707034,66.66666666666666,2.0,2.0,1395.357894,66.66666666666666,2.0,2.0,1354.0923675,66.66666666666666,1.0,1.0,572.0434205000001,33.33333333333333
Bandaga — Musenyi,6,100.0,18.0,3.0,6913.929865880271,1152.3216443133786,100.0,100.0,100.0,3.0,3.0,1586.3339689999998,100.0,3.0,3.0,1539.8209534999996,100.0,3.0,3.0,1528.410175880272,100.0,3.0,3.0,586.6479379999998,100.0,3.0,3.0,540.1349224999999,100.0,3.0,3.0,1132.581907,100.0
Jene — Kivyuka,6,100.0,11.0,1.8333333333333333,6911.2095105648095,1151.8682517608015,100.0,61.11111111111111,100.0,1.0,1.0,998.779968,33.33333333333333,1.0,1.0,987.754952,33.33333333333333,1.0,1.0,985.0502465648096,33.33333333333333,2.0,2.0,1277.069872,66.66666666666666,3.0,3.0,1347.8147600000002,100.0,3.0,3.0,1314.739712,100.0
Biyorwa — Mwaro,6,100.0,6.0,1.0,6888.0175527080555,1148.0029254513427,33.33333333333333,33.33333333333333,100.0,1.0,1.0,1173.8298385,33.33333333333333,1.0,1.0,1160.04975775,33.33333333333333,1.0,1.0,1156.6691677080548,33.33333333333333,1.0,1.0,1146.269677,33.33333333333333,1.0,1.0,1132.4895962500002,33.33333333333333,1.0,1.0,1118.7095155000002,33.33333333333333
Bukirasazi — Bururi,6,100.0,12.0,2.0,6852.419506767217,1142.0699177945362,100.0,66.66666666666666,100.0,1.0,1.0,449.8114310000002,33.33333333333333,2.0,2.0,1295.944293,66.66666666666666,2.0,2.0,1288.9087402672164,66.66666666666666,2.0,2.0,1267.265724,66.66666666666666,3.0,3.0,1492.9807325000002,100.0,2.0,2.0,1057.508586,66.66666666666666
Gisuru — Kinyinya,6,100.0,12.0,2.0,6730.064964467876,1121.6774940779794,66.66666666666666,66.66666666666666,100.0,2.0,2.0,1151.5077890000002,66.66666666666666,2.0,2.0,1135.5916835,66.66666666666666,2.0,2.0,1131.6870744678758,66.66666666666666,2.0,2.0,1119.675578,66.66666666666666,2.0,2.0,1103.7594725,66.66666666666666,2.0,2.0,1087.8433670000002,66.66666666666666
